line_id,dpi,leaflet_id,width,height,ratio,area
KM8_L,500,1,809,1035,0.7816425120772947,539344.5
KM8_L,500,2,657,990,0.6636363636363637,439917.0
KM8_L,500,3,672,972,0.691358024691358,432297.0
