line_id,dpi,leaflet_id,width,height,ratio,area
BP2N_L,500,1,746,1108,0.6732851985559567,535736.5
BP2N_L,500,2,557,927,0.6008629989212514,370618.0
BP2N_L,500,3,529,812,0.6514778325123153,301978.0
