line_id,dpi,leaflet_id,width,height,ratio,area
BP1I_L,500,1,589,1086,0.5423572744014733,444103.5
BP1I_L,500,2,476,780,0.6102564102564103,266303.5
BP1I_L,500,3,477,749,0.636849132176235,255301.5
