line_id,dpi,leaflet_id,width,height,ratio,area
BP2R_L,500,1,820,1262,0.6497622820919176,682938.5
BP2R_L,500,2,647,1026,0.6306042884990254,471577.0
BP2R_L,500,3,644,1019,0.6319921491658489,463173.5
