line_id,dpi,leaflet_id,width,height,ratio,area
MB11_L,500,1,649,994,0.6529175050301811,430088.0
MB11_L,500,2,509,835,0.6095808383233533,292642.5
MB11_L,500,3,482,776,0.6211340206185567,263670.5
