line_id,dpi,leaflet_id,width,height,ratio,area
BP2H_L,500,1,795,1228,0.6473941368078175,653579.0
BP2H_L,500,2,633,1045,0.6057416267942584,463135.0
BP2H_L,500,3,631,968,0.6518595041322314,429736.5
