line_id,dpi,leaflet_id,width,height,ratio,area
BP20_L,500,1,490,870,0.5632183908045977,289206.0
BP20_L,500,2,413,648,0.6373456790123457,186451.0
BP20_L,500,3,398,582,0.6838487972508591,164764.0
